Item,Digikey,Quantity,individual cost,total cost,running total
male headers (6 pins long ea.),https://www.digikey.com/product-detail/en/metz-connect-usa-inc/PR20206VBNN/1849-PR20206VBNN-ND/12342874,5,$0.12 ,$0.60 ,$0.60 
330 Ohm SMD resistors,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=330+ohm+1206&sv=0&pv2=16543&sf=0&FV=16%7C83711%2C16%7C83721%2Cmu330+Ohms%7C2085%2C-8%7C52&quantity=&ColumnSort=0&page=1&stock=1&nstock=1&datasheet=1&pageSize=25,3,$0.10 ,$0.30 ,$0.90 
10 KOhm SMD resistors,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=330+ohm+1206&sv=0&pv2=16543&sf=0&FV=16%7C83711%2C16%7C83721%2Cmu20kOhms%7C2085%7C1%2Cmu5kOhms%7C2085%7C0%2C-8%7C52&quantity=&ColumnSort=0&page=1&stock=1&nstock=1&datasheet=1&pageSize=25,2,$0.10 ,$0.20 ,$1.10 
Single SMD LED,https://www.digikey.com/products/en/optoelectronics/led-indication-discrete/105?k=1206+led&k=&pkeyword=1206+led&sv=0&pv69=409393&pv16=168660&pv16=83709&pv16=83710&pv16=83711&sf=1&FV=-8%7C105&quantity=&ColumnSort=0&page=1&stock=1&nstock=1&datasheet=1&pageSize=25,3,$0.15 ,$0.45 ,$1.55 
button,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/B3SN-3112P/SW262CT-ND/60835,2,$1.04 ,$2.08 ,$3.63 
Potentiometer,https://www.digikey.com/products/en/potentiometers-variable-resistors/trimmer-potentiometers/80?k=potentiometer&k=&pkeyword=potentiometer&sv=0&pv2085=u5+kOhms&pv2085=u10+kOhms&pv2085=u20+kOhms&pv2085=u25+kOhms&sf=1&FV=69%7C411897%2C-8%7C80%2C24%7C413848&quantity=&ColumnSort=0&page=1&stock=1&nstock=1&datasheet=1&pageSize=25,1,$2.48 ,$2.48 ,$6.11 
"FR4 stock 6""x4"" single sided",https://www.digikey.com/product-detail/en/mg-chemicals/506/473-1001-ND/559720,0.5,$7.34 ,$3.67 ,$9.78 
